CustomerID,회사명,업종,회사 규모,지역,가입 일자,최근 서비스 이용 날짜,모델명,분류종,구매 갯수,구매 가격,구매 일자,평점,구매 횟수,총 구매 금액,평균 평점,이탈 여부,가입 기간,구매 주기,평균 구매 주기,평균 구매 금액
customer1000@kakao.com,Thompson-Dean,건설/산업 장비 대여 업체,소기업,경상북도,2022-07-12,2024-11-27,타이탄 카고 트럭,상용차 및 픽업트럭,2,140000000,2023-05-11,2,1,140000000,2.0,0,869,0,0.0,139999999.85999998
customer1000@kakao.com,Thompson-Dean,건설/산업 장비 대여 업체,소기업,경상북도,2022-07-12,2024-11-27,타이탄 카고 트럭,상용차 및 픽업트럭,3,210000000,2023-12-19,2,2,350000000,2.0,0,869,222,111.0,174999999.9125
customer100@daum.net,Hardy-Simmons,중고차 딜러,소기업,경상남도,2020-01-16,2023-02-10,펄스 컴팩트카,승용차 및 SUV,2,50000000,2023-01-22,2,1,50000000,2.0,1,1121,0,0.0,49999999.949999996
customer101@kakao.com,Ortega-Sanchez,공유 차량 서비스 기업,중소기업,경상남도,2022-01-26,2023-08-13,루미너스 리무진,승용차 및 SUV,3,270000000,2022-08-17,3,1,270000000,3.0,1,564,0,0.0,269999999.72999996
customer101@kakao.com,Ortega-Sanchez,공유 차량 서비스 기업,중소기업,경상남도,2022-01-26,2023-08-13,사이버 트럭,상용차 및 픽업트럭,3,180000000,2022-08-22,5,2,450000000,4.0,1,564,5,2.5,224999999.8875
customer101@kakao.com,Ortega-Sanchez,공유 차량 서비스 기업,중소기업,경상남도,2022-01-26,2023-08-13,사이버 트럭,상용차 및 픽업트럭,1,60000000,2022-12-02,4,3,510000000,4.0,1,564,102,35.7,169999999.94333333
customer101@kakao.com,Ortega-Sanchez,공유 차량 서비스 기업,중소기업,경상남도,2022-01-26,2023-08-13,에스트라 세단,승용차 및 SUV,4,260000000,2023-01-23,3,4,770000000,3.8,1,564,52,39.8,192499999.951875
customer101@kakao.com,Ortega-Sanchez,공유 차량 서비스 기업,중소기업,경상남도,2022-01-26,2023-08-13,타이탄 카고 트럭,상용차 및 픽업트럭,3,210000000,2023-06-22,4,5,980000000,3.8,1,564,150,61.8,195999999.9608
customer102@naver.com,Harper PLC,택시회사,소기업,충청남도,2020-03-15,2020-08-28,네오 SUV,승용차 및 SUV,1,55000000,2020-05-03,3,1,55000000,3.0,1,166,0,0.0,54999999.94499999
customer102@naver.com,Harper PLC,택시회사,소기업,충청남도,2020-03-15,2020-08-28,스텔라 세단,승용차 및 SUV,1,45000000,2020-07-08,1,2,100000000,2.0,1,166,66,33.0,49999999.975
customer102@naver.com,Harper PLC,택시회사,소기업,충청남도,2020-03-15,2020-08-28,에스트라 세단,승용차 및 SUV,3,195000000,2020-07-28,3,3,295000000,2.3,1,166,20,28.7,98333333.30055556
customer103@naver.com,Smith-Walsh,운전학원,소기업,부산광역시,2023-03-20,2023-04-04,스텔라 세단,승용차 및 SUV,3,135000000,2023-03-27,2,1,135000000,2.0,1,15,0,0.0,134999999.86499998
customer104@hanmail.net,"Marks, Patterson and Garner",소규모 물품 배달 서비스 회사,소기업,광주광역시,2021-03-15,2023-12-02,에스트라 세단,승용차 및 SUV,3,195000000,2021-04-11,3,1,195000000,3.0,1,992,0,0.0,194999999.80499998
customer104@hanmail.net,"Marks, Patterson and Garner",소규모 물품 배달 서비스 회사,소기업,광주광역시,2021-03-15,2023-12-02,에스트라 세단,승용차 및 SUV,4,260000000,2022-06-14,3,2,455000000,3.0,1,992,429,214.5,227499999.88625
customer104@hanmail.net,"Marks, Patterson and Garner",소규모 물품 배달 서비스 회사,소기업,광주광역시,2021-03-15,2023-12-02,오메가 컴팩트카,승용차 및 SUV,1,23000000,2022-09-02,3,3,478000000,3.0,1,992,80,169.7,159333333.2802222
customer105@kakao.com,Bailey Ltd,소규모 물품 배달 서비스 회사,소기업,인천광역시,2023-05-10,2023-10-12,퓨전 일렉트릭 버스,버스 및 대형,4,480000000,2023-07-15,4,1,480000000,4.0,1,155,0,0.0,479999999.52
customer106@naver.com,Hill Inc,렌터카 업체,소기업,충청북도,2022-05-17,2024-06-24,에스트라 세단,승용차 및 SUV,5,325000000,2023-01-15,3,1,325000000,3.0,0,769,0,0.0,324999999.67499995
customer106@naver.com,Hill Inc,렌터카 업체,소기업,충청북도,2022-05-17,2024-06-24,스텔라 세단,승용차 및 SUV,3,135000000,2023-09-02,3,2,460000000,3.0,0,769,230,115.0,229999999.885
customer107@kakao.com,Christian-Miller,공유 차량 서비스 기업,소기업,대구광역시,2020-06-26,2023-12-27,스텔라 세단,승용차 및 SUV,4,180000000,2021-12-03,3,1,180000000,3.0,1,1279,0,0.0,179999999.82
customer107@kakao.com,Christian-Miller,공유 차량 서비스 기업,소기업,대구광역시,2020-06-26,2023-12-27,루미너스 리무진,승용차 및 SUV,1,90000000,2022-02-03,4,2,270000000,3.5,1,1279,62,31.0,134999999.9325
customer107@kakao.com,Christian-Miller,공유 차량 서비스 기업,소기업,대구광역시,2020-06-26,2023-12-27,에스트라 세단,승용차 및 SUV,5,325000000,2023-11-10,2,3,595000000,3.0,1,1279,645,235.7,198333333.26722223
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,펄스 컴팩트카,승용차 및 SUV,4,100000000,2020-04-04,2,1,100000000,2.0,1,65,0,0.0,99999999.89999999
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,루미너스 리무진,승용차 및 SUV,5,450000000,2020-04-10,2,2,550000000,2.0,1,65,6,3.0,274999999.8625
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,솔라 SUV,승용차 및 SUV,3,150000000,2020-04-12,3,3,700000000,2.3,1,65,2,2.7,233333333.25555554
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,제타 컴팩트카,승용차 및 SUV,2,40000000,2020-04-13,4,4,740000000,2.8,1,65,1,2.2,184999999.95374998
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,오메가 컴팩트카,승용차 및 SUV,1,23000000,2020-04-13,4,5,763000000,3.0,1,65,0,1.8,152599999.96948
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,에스트라 세단,승용차 및 SUV,2,130000000,2020-04-13,3,6,893000000,3.0,1,65,0,1.5,148833333.30852777
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,제타 컴팩트카,승용차 및 SUV,2,40000000,2020-04-14,1,7,933000000,2.7,1,65,1,1.4,133285714.26667346
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,네오 SUV,승용차 및 SUV,5,275000000,2020-04-17,5,8,1208000000,3.0,0,65,3,1.6,150999999.981125
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,루미너스 리무진,승용차 및 SUV,5,450000000,2020-04-21,4,9,1658000000,3.1,0,65,4,1.9,184222222.20175308
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,루미너스 리무진,승용차 및 SUV,5,450000000,2020-04-21,3,10,2108000000,3.1,0,65,0,1.7,210799999.97892
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,제타 컴팩트카,승용차 및 SUV,1,20000000,2020-04-24,2,11,2128000000,3.0,0,65,3,1.8,193454545.43695867
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,루미너스 리무진,승용차 및 SUV,1,90000000,2020-04-24,2,12,2218000000,2.9,0,65,0,1.7,184833333.31793055
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,펄스 컴팩트카,승용차 및 SUV,5,125000000,2020-04-26,5,13,2343000000,3.1,0,65,2,1.7,180230769.21690533
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,스텔라 세단,승용차 및 SUV,4,180000000,2020-05-01,5,14,2523000000,3.2,0,65,5,1.9,180214285.70141327
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,에스트라 세단,승용차 및 SUV,3,195000000,2020-05-06,5,15,2718000000,3.3,0,65,5,2.1,181199999.98792
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,제타 컴팩트카,승용차 및 SUV,1,20000000,2020-05-11,1,16,2738000000,3.2,0,65,5,2.3,171124999.9893047
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,스텔라 세단,승용차 및 SUV,2,90000000,2020-05-14,5,17,2828000000,3.3,0,65,3,2.4,166352941.16668513
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,오메가 컴팩트카,승용차 및 SUV,5,115000000,2020-05-16,4,18,2943000000,3.3,0,65,2,2.3,163499999.99091667
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,에스트라 세단,승용차 및 SUV,2,130000000,2020-05-17,3,19,3073000000,3.3,0,65,1,2.3,161736842.0967507
customer108@kakao.com,"Cherry, Levine and Holmes",라이드 셰어링/카풀 서비스 기업,대기업,전라남도,2020-03-27,2020-05-31,제타 컴팩트카,승용차 및 SUV,4,80000000,2020-05-18,1,20,3153000000,3.2,0,65,1,2.2,157649999.9921175
